Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,dAIC_permodel,rmin,ef,N
CamB,0.5,2.0,0.9159068610759384,0.0,1.1475977448071686,False,2.9938249709944387,2.9938249709944387,0.0,4.0,9
D512-2,0.5,2.0,2.936734342053813,0.0,0.5655450395592092,False,0.9168372374488563,0.9168372374488563,0.0,3.0,4
D564-8,0.0012499999999999996,,0.0,1053.5395881506201,2.5831334350628294,True,7.74621026869589,11.895523242577774,2.0,6.0,3
D631-7,0.0012499999999999996,,0.0,4552.4513614853695,8.804395393378137,True,87.05925387104443,96.77577398096935,3.0,6.0,10
DDO064,0.039309588468880614,25.43908595714882,0.0,1763.598268237134,0.0004369028521750587,False,-0.030888785053647894,-0.030888785053647894,2.0,4.0,4
DDO154,0.0012499999999999996,,0.0,2287.0365507251986,1.1802536588497012,True,6.695989566819286,9.848315913579277,3.0,4.0,6
DDO161,0.43934980317580585,2.276090697598082,6.1541719388224925,0.0,6.936244132692694,False,151.48968413480253,178.36105079740065,3.0,6.0,22
DDO168,0.2855037885976654,3.5025804908291756,8.430084955571443,0.0,0.01968723654189469,False,-1.7480295681718054,-1.7480295681718054,3.0,3.0,3
DDO170,0.0750406069383457,13.326118228516094,7.426507689111849,0.0,2.0506407195809246,False,13.993196077886616,22.61338972818624,2.0,6.0,7
ESO079-G014,0.5,2.0,1.7963397774556566,0.0,3.6917446399906386,False,23.020551535411613,23.74396767886222,3.0,6.0,11
ESO116-G012,0.1205631966828747,8.294405154421757,0.018646062280811164,12497.797543587054,7.653600791392179,False,75.56038922140891,80.52662513229473,3.0,6.0,10
ESO444-G084,0.0012499999999999996,,0.0,4651.080946847529,2.368095138990068,True,7.038095656052651,9.674901153657363,2.0,6.0,3
ESO563-G021,0.005899630754402795,169.5021335451743,1.4480162619975785,0.0,21.577496884639704,False,464.0849749589563,464.0849749589563,3.0,6.0,27
F561-1,0.0012499999999999996,,0.12138641667219725,1549.6681356022905,0.10158136870241219,True,2.2594059804520867,2.2594059804520867,2.0,4.0,5
F563-1,0.029070968788787063,34.3985784328491,0.0,13428.60643306577,1.7454499273056305,False,20.458005295502204,20.458005295502204,3.0,6.0,13
F563-V1,0.2111411503067189,4.73616819150283,0.0,664.8026420368242,0.022732924112790133,False,-2.4878596920925524,-2.4878596920925524,3.0,4.0,4
F563-V2,0.010787053076703189,92.70372481615959,0.0,12747.575282064405,0.0007794934543430545,False,-0.46177769253999656,-0.46177769253999656,3.0,6.0,5
F565-V2,0.015228659070119253,65.66566336507849,13.141055293947922,0.0,1.347762237863117,False,6.6328679972299796,6.6328679972299796,3.0,4.0,5
F567-2,0.3541694980180128,2.8235068395108964,1.9941388497503387,0.0,0.026342711463716462,False,-0.00037891744062079624,-0.00037891744062079624,2.0,4.0,4
F568-1,0.5,2.0,6.916091488269051,0.0,0.2918656260569541,False,0.2623232488746936,0.2623232488746936,3.0,6.0,9
F568-3,0.5,2.0,4.011965583437174,0.0,2.082179989322641,False,22.696593858017096,22.696593858017096,3.0,6.0,13
F568-V1,0.024466963869251825,40.8714381295475,5.870251222260666,0.0,0.5980701739789546,False,3.8784382333463867,3.8784382333463867,3.0,6.0,11
F571-8,0.2980792409966095,3.354812621826874,1.5229888160725642,2280.473854515002,43.34326485340206,False,388.5857694927369,391.91189401094283,3.0,6.0,9
F571-V1,0.06315633414306439,15.833724575190793,0.11986064416888687,6848.740478892238,2.993305225699269,False,19.738037123139407,19.738037123139407,2.0,6.0,6
F574-1,0.5,2.0,3.7132051454889017,0.0,0.5771786289899691,False,3.988971430225426,3.988971430225426,3.0,4.0,11
F574-2,0.3697694369377724,2.70438792421962,0.6037422748788138,0.0,0.0027283114199393053,False,-1.9892833030325718,-1.9892833030325718,3.0,6.0,4
F579-V1,0.0012499999999999996,,0.9268319432866231,7307.71359657741,0.029853229310153752,True,2.133513265250002,2.133513265250002,3.0,6.0,10
F583-1,0.04876382651067896,20.507004301252007,0.17163739005689366,5162.944600008219,2.5104336279513673,False,37.29671304262865,40.27422520652529,3.0,6.0,15
