Galaxy,best_m,best_rc,best_mu,best_B,best_chi2_pt,best_chi2_tot,best_nll,best_AIC,best_k_eff,N_pts,is_boundary,rc_lo90,rmin_used,ef_used,nfw_rs,nfw_chi2_pt,nfw_AIC,dAIC_yuk_nfw
CamB,0.0012499999999999996,,0.0,278.4096590670425,0.07399463536782042,0.6659517183103837,49.45851576209948,53.45851576209948,2,9,True,800.0000000000002,0.0,6.0,12.087699936970944,0.20612696928175175,54.64770676732486,-1.189191005225382
D512-2,0.2508720666526624,3.986095436382405,1.902870800181825,469.885410079954,0.024530716599312417,0.09812286639724967,21.783706885859072,27.783706885859072,3,4,False,,0.0,6.0,1.9581431275744867,0.11930258019465691,26.16279434024045,1.6209125456186229
D564-8,0.3112085984901758,3.213278826007656,0.6793291563129795,515.9420409098825,0.002723184505119093,0.016339107030714558,32.544715136223445,38.544715136223445,3,6,False,,0.0,6.0,200.00000000000003,0.041513656862934706,36.77745797037034,1.7672571658531027
D631-7,0.0012499999999999996,,0.0,2658.7199114345176,0.7315386879883947,11.704619007814316,98.4469550856616,102.4469550856616,2,16,True,,0.0,6.0,200.00000000000003,0.5403415946123877,99.38780159164548,3.0591534940161154
DDO064,0.3860564991012387,2.590294431846262,1.6451648061279587,1589.3133167536755,0.19259825697363153,2.6963755976308414,79.55715071803584,85.55715071803584,3,14,False,,0.0,6.0,200.00000000000003,0.3089595232587863,87.18620844602802,-1.6290577279921763
DDO154,0.3249162586780778,3.0777160985064316,0.8154535132844486,1925.9544215091616,0.009236457231644209,0.11083748677973052,65.1675895451652,71.1675895451652,3,12,False,,0.0,6.0,17.661639333381366,0.11245048295504108,70.40615785384595,0.7614316913192454
DDO161,0.033084080815161204,30.22601732799955,0.7446634849719255,3455.8060555157617,0.054786705204275525,1.6983878613325414,170.2291714730141,176.2291714730141,3,31,False,,0.0,6.0,86.83960612467332,0.05376702448589807,174.19756137074444,2.031610102269667
DDO168,0.0012499999999999996,,0.0,2809.371533630202,0.5844964739939477,5.844964739939477,60.05892478859403,64.05892478859403,2,10,True,,0.0,6.0,200.00000000000003,1.0306223056700168,68.52018310535472,-4.461258316760691
DDO170,0.016599743454806373,60.24189486557727,1.983815061060504,2449.7485928922692,0.06235018524795916,0.4988014819836733,43.86996952090732,49.86996952090732,3,8,False,,0.0,6.0,16.371691167089814,0.13449598462899476,48.4471359159556,1.4228336049517196
ESO079-G014,0.08916117070568895,11.21564456910159,0.5201386282595283,23543.334497853983,1.2392931240779745,18.589396861169618,104.52709197833641,110.52709197833641,3,15,False,,0.0,6.0,69.16803536471991,1.9354314204051115,118.96916642324348,-8.442074444907064
ESO116-G012,0.4587016393229221,2.1800663312999595,0.9597519473116489,8927.942060848001,0.1518776230650237,2.2781643459753553,83.5991044189572,89.5991044189572,3,15,False,,0.0,6.0,22.17396800616915,0.5596811985965103,95.71615805192948,-6.117053632972286
ESO444-G084,0.025544648830967184,39.147142190802924,4.056843024043767,3211.6015818393316,0.08507712176335343,0.595539852343474,38.953912813427124,44.953912813427124,3,7,False,,0.0,6.0,7.668649016134385,0.09360310338139108,43.013594684753386,1.9403181286737379
ESO563-G021,0.05793982801009974,17.2592849227251,0.36180964188498027,87662.27341400963,10.29987586687964,308.9962760063892,495.8426490223859,501.8426490223859,3,30,False,,0.0,6.0,200.00000000000003,13.116912217116418,586.3537395294893,-84.5110905071034
F561-1,0.17770246782622962,5.62738386378445,0.9167099904994549,0.0,0.37493254639001466,2.249595278340088,35.7996225550648,39.7996225550648,2,6,False,,0.0,6.0,5.2484555073989805,0.16716414370665234,38.553012138964625,1.2466104161001752
F563-1,0.0012499999999999996,,3.3258091611729834,11155.830088942652,0.9450283094458709,16.065481260579805,132.47144748189868,138.47144748189868,3,17,True,9.41380755981668,0.0,6.0,19.053224297895927,0.9782039089052852,137.0354326727087,1.4360148091899703
F563-V1,0.4789058567834196,2.0880930684717853,1.0392925173904326,0.0,0.10774426501989881,0.6464655901193929,33.174841619312126,37.174841619312126,2,6,False,,0.0,6.0,6.589370460244033,0.09961321287589282,37.12605530644809,0.04878631286403845
F563-V2,0.0012499999999999996,,4.1841863663951315,5819.186810564224,0.03704831690958778,0.37048316909587775,71.91879914470134,77.91879914470134,3,10,True,,0.0,6.0,11.204854008908788,0.4437052106294643,79.9853680819001,-2.0665689371987668
F565-V2,0.4030609499058906,2.481014348409308,0.8083791348069049,5780.159730597724,0.04887695356138124,0.3421386749296687,41.26011728301537,47.26011728301537,3,7,False,,0.0,6.0,200.00000000000003,0.33939241117797436,47.293725486331525,-0.03360820331615599
F567-2,0.230150856467811,4.344976227102855,0.8283438600642465,1463.2970202574854,0.08098449685389092,0.4049224842694546,29.684282045935838,35.68428204593584,3,5,False,,0.0,6.0,7.108556062724371,0.22769481110197104,34.41783361717624,1.2664484287595954
F568-1,0.09308841126368937,10.742475743487805,2.1979525459866838,14538.957331560736,0.44132771677457255,5.29593260129487,86.04563187402015,92.04563187402015,3,12,False,,0.0,6.0,86.83960612467332,0.7281702740956771,95.48774256187339,-3.442110687853244
F568-3,0.07187477231871248,13.913087551299995,1.3557661845673625,8003.876022670187,0.632539128243674,11.385704308386131,121.73053269726991,127.73053269726991,3,18,False,,0.0,6.0,200.00000000000003,1.2274801980610857,138.43947195398331,-10.708939256713407
F568-V1,0.01338141673017669,74.73050276843115,3.4459302895130737,7002.82439106131,0.11798722815159528,1.7698084222739292,108.11850993020394,114.11850993020394,3,15,False,,0.0,6.0,32.39893673378488,0.12014580880017244,114.15088863993259,-0.03237870972864698
F571-8,0.14324985096532217,6.980810055028115,0.15639954768123507,19746.672360673896,0.20841465350288946,2.709390495537563,74.83576760865158,80.83576760865158,3,13,False,,0.0,6.0,34.951693721624565,0.8233073007055853,86.82937202228662,-5.99360441363504
F571-V1,0.0012499999999999996,,1.6494303073473293,5151.390544325641,0.03638518624313088,0.2546963037019162,40.55607219247858,46.55607219247858,3,7,True,,0.0,6.0,19.053224297895927,0.2387602732550558,45.972697801562056,0.583374390916525
F574-1,0.2980792409966095,3.354812621826874,0.219291159578546,9005.441533981826,0.15448533973889284,2.1627947563445,78.15355984696497,84.15355984696497,3,14,False,,0.0,6.0,23.92108558107574,0.7534620413668894,92.53923366975692,-8.385673822791958
F574-2,0.14955951043015286,6.686301640891095,0.25769575888012364,566.1884012802167,0.04595868369387713,0.22979341846938564,31.10616837257131,37.10616837257131,3,5,False,,0.0,6.0,200.00000000000003,0.060418966916413755,35.178469788684,1.927698583887313
F579-V1,0.5,2.0,1.167373147801419,7527.973759371327,0.5566397907035937,7.792957069850313,101.16228297104561,107.16228297104561,3,14,False,,0.0,6.0,3.8750886917236347,0.16382428403590366,101.66286587769794,5.499417093347674
F583-1,0.230150856467811,4.344976227102855,3.587167784440235,6086.060424766128,0.8877888791895058,22.194721979737643,170.5312745263035,176.5312745263035,3,25,False,,0.0,6.0,22.17396800616915,0.8682540781401714,174.04290450007014,2.488370026233355
F583-4,0.009478579292193035,105.50104284337664,1.4212863954044832,1978.4011965340171,0.22555953131842046,2.7067143758210457,68.31113976546597,74.31113976546597,3,12,False,,0.0,6.0,200.00000000000003,0.0563137583953714,72.28019049038937,2.030949275076594
IC2574,0.06049187662816835,16.53114526677364,1.1119028542921001,3193.150093174639,0.0822001242913188,2.7948042259048393,191.3228389782992,197.3228389782992,3,34,False,,0.0,6.0,14.067554524100457,1.0531119670257418,228.33384163126954,-31.011002652970348
IC4202,0.43934980317580585,2.276090697598082,0.9984771539170779,0.0,29.41268127112399,941.2058006759677,1129.0816804389196,1133.0816804389196,2,32,False,,0.0,6.0,20.554454164387554,11.53103846968271,560.8691107927986,572.2125696461211
KK98-251,0.4587016393229221,2.1800663312999595,0.0,914.0501915521254,0.012657321487323302,0.18985982230984955,81.51079989529168,85.51079989529168,2,15,False,,0.0,6.0,200.00000000000003,0.1508440004330036,87.5836000794769,-2.072800184185212
NGC0024,0.3860564991012387,2.590294431846262,1.6588844604504738,8044.003885402502,0.8423217704966344,24.427331344402397,197.19570366150262,203.19570366150262,3,29,False,,0.0,6.0,200.00000000000003,0.3027904574329544,187.5492955826559,15.646408078846719
NGC0055,0.1014694556150866,9.85518246784916,0.6279898919585147,4958.426374436436,0.032198356944740956,0.6761654958395601,115.2915923611672,121.2915923611672,3,21,False,,0.0,6.0,59.43339016643987,0.2500211087397806,123.86587014886304,-2.5742777876958343
NGC0100,0.06049187662816835,16.53114526677364,0.6610137077973723,6314.654717408312,0.06253869910432644,1.3133126811908553,119.36519403523438,125.36519403523438,3,21,False,,0.0,6.0,200.00000000000003,0.35437802640243427,131.49381990849463,-6.128625873260248
NGC0247,0.0012499999999999996,,1.8820241520664267,4099.859621623444,0.4286921714764592,11.14599645838794,159.4949998350464,165.4949998350464,3,26,True,,0.0,6.0,19.053224297895927,0.1927073926861708,157.35939558649892,8.13560424854748
NGC0289,0.05315418818064179,18.813192981173017,0.8825868424464526,21744.329428051406,1.3511707568311895,37.832781191273305,216.87961398140783,222.87961398140783,3,28,False,,0.0,6.0,25.80586096353838,1.1943110158705128,218.4875412345089,4.3920727468989185
