Galaxy,m,rc,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
UGC05253,0.0012499999999999996,,0.0,40.951036945289495,True,753.5017707064153,3.0,6.0,50
UGC05414,0.0012499999999999996,,1401.6110952819886,1.2055185999320461,True,4.45768816843994,2.0,4.0,4
UGC05716,0.0012499999999999996,,3751.0403947792333,0.9735529206777953,True,9.236117291637292,3.0,6.0,10
UGC05721,0.0012499999999999996,,5159.120175160565,0.01979163193978682,True,-0.027577928966849186,3.0,4.0,9
UGC05750,0.0012499999999999996,,1936.9917866877438,1.349543962188057,True,9.451991473383238,3.0,4.0,8
UGC05764,0.230150856467811,4.344976227102855,2593.859626423767,0.1879223132160121,False,-0.3973002668443897,2.0,3.0,5
UGC05829,0.0012499999999999996,,2139.7222979643757,1.1464061369489826,True,7.813064150075547,3.0,4.0,7
UGC05918,0.0012499999999999996,,1347.8060001304195,0.048770728555549724,True,0.13196890379306936,3.0,3.0,3
UGC05986,0.0012499999999999996,,7821.956393781917,1.4198384744883021,True,12.673512706428255,3.0,6.0,11
UGC05999,0.0012499999999999996,,4893.609884865811,8.245407801838223,True,34.67387397746806,0.0,6.0,5
UGC06399,0.0012499999999999996,,4337.3489009566865,0.7690178255810075,True,4.382144084207297,3.0,6.0,6
UGC06446,0.0012499999999999996,,4829.163105048622,0.5900486404836679,True,5.992978204497433,3.0,4.0,12
UGC06614,0.0012499999999999996,,1456.8697085510769,15.231395912931806,True,91.1430081535618,0.0,6.0,13
UGC06628,0.0012499999999999996,,0.0,1.3168063263229903,True,0.0,3.0,6.0,5
UGC06667,0.0012499999999999996,,5587.586213134978,1.1897401937145258,True,6.609606697672248,3.0,4.0,6
UGC06786,0.0012499999999999996,,14592.958274617105,23.201144192887387,True,791.8601973364089,2.0,6.0,38
UGC06787,0.0012499999999999996,,17572.4876172207,44.75049721943551,True,1977.8528893409207,3.0,6.0,53
UGC06818,0.0012499999999999996,,2534.8490134793246,2.6462392278167424,True,8.123681228059453,3.0,6.0,5
UGC06917,0.0012499999999999996,,5521.5136393949015,1.8360988260560214,True,15.568472192830598,3.0,3.0,9
UGC06923,0.0012499999999999996,,2601.9711247538544,0.09110765825454507,True,0.26239600594473345,3.0,3.0,3
