Galaxy,mu,chi2_pt,N
UGC07089,0.34673685045253166,0.8056151402247621,12
UGC07125,0.251188643150958,11.852459259272523,13
UGC07151,0.6025595860743578,0.5150359005549578,11
UGC07232,0.8709635899560807,0.7879466316095072,4
UGC07261,0.7244359600749901,0.5303182938226099,7
UGC07323,0.4570881896148751,0.44944177265036134,10
UGC07399,2.630267991895382,1.7146908136841776,10
UGC07524,0.5754399373371569,0.7505466174109191,31
UGC07559,0.6025595860743578,2.30493692290021,7
UGC07577,0.5248074602497727,3.769525162946113,9
UGC07603,1.0471285480508996,0.886358634516768,12
UGC07608,1.318256738556407,0.8427384326384157,8
UGC07690,0.660693448007596,0.8152455750563027,7
UGC07866,0.660693448007596,1.4942647643595603,7
UGC08286,1.318256738556407,0.307029465490669,17
UGC08490,1.318256738556407,0.15302421966288535,30
UGC08550,0.9549925860214359,0.11765429193925399,11
UGC08699,0.7585775750291838,0.9567063774806243,41
UGC08837,0.4168693834703354,2.9545439245053666,8
UGC09037,0.251188643150958,1.6174677902372048,22
UGC09133,0.6309573444801932,2.733210437120015,68
UGC09992,0.5495408738576246,4.65653008711818,5
UGC10310,0.660693448007596,1.1415177613285958,7
UGC11455,0.5011872336272722,3.571657733975073,36
UGC11557,0.251188643150958,3.8418746996570508,12
UGC11820,0.7585775750291838,1.1000204731941945,10
UGC11914,0.8317637711026711,1.9945572606918194,65
UGC12506,1.0471285480508996,1.9527356125916737,31
UGC12632,0.6918309709189365,0.9556464777781879,15
UGC12732,0.8709635899560807,0.3883481041950947,16
UGCA281,0.7943282347242815,0.3873035914722709,7
UGCA442,0.9549925860214359,0.2968758583815275,8
UGCA444,0.8709635899560807,0.2972156479921781,36
